slide.id,rep,color,sample,ant.species,year,Season,site,webers,mandible,
19,10,pink,S5,Myrmecocystus semirufus,2023,spring,Tecopa,1.638,0.656,
19,9,orange,O20,Myrmecocystus tenuinodis,2023,spring,Tecopa,1.089,0.448,
20,7,red,O9,Pogonomyrmex californicus,2023,spring,Tecopa,1.775,0.907,
20,8,blue,S19,Pogonomyrmex californicus,2023,spring,Tecopa,1.785,1.01,
20,9,orange,O4,Pogonomyrmex californicus,2023,summer,Tecopa,2.114,0.984,
20,10,pink,S10,Pogonomyrmex californicus,2023,summer,Tecopa,2.077,0.995,
20,11,gold,O10,Pogonomyrmex californicus,2024,spring,Tecopa,2.214,1.012,
20,12,silver,S29,Pogonomyrmex californicus,2024,spring,Tecopa,1.755,0.99,
19,11,gold,S5,Solenopsis xyloni,2024,spring,Tecopa,0.902,0.281,
13,10,pink,S19,Crematogaster depilis,2024,spring,Yucca,,0.389,webers length not usable from photo
11,1,red,S24,Dorymyrmex insanus,2023,spring,Yucca,1.029,0.406,
11,2,blue,S10,Dorymyrmex insanus,2024,spring,Yucca,0.984,0.363,
11,3,orange,S10,Dorymyrmex insanus,2024,spring,Yucca,1.116,0.405,
11,4,pink,S39,Dorymyrmex insanus,2024,spring,Yucca,1.204,0.422,
11,7,red,O9,Forelius mccooki,2023,spring,Yucca,0.829,0.28,
11,8,blue,S14,Forelius mccooki,2023,spring,Yucca,0.696,0.261,
11,9,orange,O30,Forelius mccooki,2023,summer,Yucca,0.887,0.322,
11,10,pink,S15,Forelius mccooki,2023,summer,Yucca,0.945,0.315,
11,11,gold,S9,Forelius mccooki,2024,spring,Yucca,0.815,0.289,
11,12,silver,S9,Forelius mccooki,2024,spring,Yucca,0.589,0.269,
13,11,gold,O35,Leptothorax,2024,spring,Yucca,0.728,0.366,
13,7,red,O30,Myrmecocystus flaviceps,2023,summer,Yucca,1.647,0.606,
13,8,blue,O30,Myrmecocystus flaviceps,2023,summer,Yucca,1.84,0.705,
12,7,red,S10,Myrmecocystus mexicanus,2023,spring,Yucca,2.23,0.744,
12,8,blue,S5,Myrmecocystus mexicanus,2023,summer,Yucca,2.089,0.792,
12,9,orange,O24,Myrmecocystus mexicanus,2024,spring,Yucca,2.354,0.821,
12,10,pink,O20,Myrmecocystus mexicanus,2024,spring,Yucca,2.48,0.871,
12,11,gold,O20,Myrmecocystus mexicanus,2024,spring,Yucca,3.544,1.339,
12,12,silver,O20,Myrmecocystus mexicanus,2024,spring,Yucca,2.487,0.847,
13,1,red,O25,Pheidole desertorum,2023,summer,Yucca,1.236,0.493,
